Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:45,06h 00m,05:45,4.7,INR 369,27 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06h 50m,06:15,4.7,INR 379,29 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,07h 00m,05:45,4.5,INR 379,23 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:10,07h 20m,05:30,3.8,INR 550,23 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:10,06h 05m,05:15,4.6,549,23 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:00,06h 00m,04:00,4.6,549,25 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),17:30,06h 45m,00:15,4.5,549,14 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:25,06h 30m,05:55,4.6,549,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:40,06h 50m,06:30,4.6,INR 599,20 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:25,06h 15m,05:40,4.6,INR 349,28 Seats available
